Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
ZE|1040|62.650559|-150.2233|217.5|1040|2019-02-12T23:28:08.793998Z|2019-03-20T13:58:08.791998Z
ZE|1041|62.659588|-150.224506|211.0|1041|2019-02-12T23:40:36.982000Z|2019-03-20T18:10:36.980000Z
ZE|1042|62.668054|-150.229058|212.2|1042|2019-02-12T23:53:52.140000Z|2019-03-17T23:23:52.138000Z
ZE|1043|62.676232|-150.236199|220.6|1043|2019-02-13T00:03:54.176000Z|2019-03-21T03:03:54.174000Z
ZE|1044|62.684341|-150.243444|229.1|1044|2019-02-13T00:13:07.594000Z|2019-03-20T09:43:07.592000Z
ZE|1045|62.692748|-150.238283|234.4|1045|2019-02-13T00:23:24.733999Z|2019-03-18T07:53:24.731998Z
ZE|1046|62.700713|-150.229685|230.5|1046|2019-02-13T00:33:45.934000Z|2019-03-20T14:03:45.932000Z
ZE|1047|62.707937|-150.217503|212.0|1047|2019-02-13T00:46:40.513998Z|2019-03-20T02:46:40.511998Z
ZE|1048|62.713239|-150.202585|212.4|1048|2019-02-14T00:00:00.000000Z|2019-03-20T02:01:14.708000Z
ZE|1049|62.721687|-150.195243|210.4|1049|2019-02-14T00:00:00.001999Z|2019-03-21T01:48:06.553999Z
ZE|1050|62.726487|-150.179443|240.1|1050|2019-02-14T00:00:00.000000Z|2019-03-20T23:04:28.514000Z
ZE|1051|62.731995|-150.162966|254.6|1051|2019-02-14T00:00:00.000000Z|2019-03-20T04:58:57.424000Z
ZE|1052|62.737539|-150.147787|265.8|1052|2019-02-14T00:00:00.000000Z|2019-03-21T09:43:00.550000Z
ZE|1053|62.74451|-150.136093|257.0|1053|2019-02-14T00:00:00.000000Z|2019-03-20T01:29:50.188000Z
ZE|1054|62.750158|-150.122171|269.4|1054|2019-02-14T00:00:00.001998Z|2019-03-21T14:25:30.675998Z
ZE|1055|62.755974|-150.106171|273.0|1055|2019-02-14T00:00:00.000000Z|2019-03-20T21:39:05.560000Z
ZE|1056|62.759891|-150.089073|303.5|1056|2019-02-14T00:00:00.001998Z|2019-03-15T09:52:56.925998Z
ZE|1057|62.765268|-150.071528|310.4|1057|2019-02-14T00:00:00.001998Z|2019-03-21T03:37:39.551998Z
ZE|1058|62.770821|-150.056671|319.2|1058|2019-02-14T00:00:00.000000Z|2019-03-16T19:54:38.310000Z
ZE|1059|62.775685|-150.041118|341.1|1059|2019-02-14T00:00:00.000000Z|2019-03-20T05:06:22.658000Z
ZE|1060|62.782195|-150.02737|351.0|1060|2019-02-14T00:00:00.000000Z|2019-03-20T23:18:08.658000Z
ZE|1061|62.787999|-150.013027|360.4|1061|2019-02-14T00:00:00.000000Z|2019-03-20T03:32:11.902000Z
ZE|1062|62.793593|-149.997859|371.7|1062|2019-02-14T00:00:00.000000Z|2019-03-21T00:17:58.672000Z
ZE|1063|62.799641|-149.981841|378.7|1063|2019-02-14T00:00:00.001998Z|2019-03-20T14:03:58.867998Z
ZE|1064|62.805775|-149.968107|389.5|1064|2019-02-14T00:00:00.001999Z|2019-03-21T15:48:38.553999Z
ZE|1065|62.81137|-149.950558|395.9|1065|2019-02-14T00:00:00.000000Z|2019-03-18T18:39:56.264000Z
ZE|1066|62.816254|-149.936864|411.4|1066|2019-02-14T00:00:00.000000Z|2019-03-21T05:25:28.978000Z
ZE|1067|62.821908|-149.920853|419.9|1067|2019-02-14T00:00:00.001999Z|2019-03-20T18:19:17.099999Z
ZE|1068|62.826912|-149.904824|428.6|1068|2019-02-14T00:00:00.001998Z|2019-03-22T03:47:39.481998Z
ZE|1069|62.834306|-149.893784|413.8|1069|2019-02-14T00:00:00.001999Z|2019-03-20T17:01:00.221999Z
ZE|1070|62.842279|-149.883814|405.6|1070|2019-02-14T00:00:00.001999Z|2019-03-21T06:38:28.507999Z
ZE|1071|62.850714|-149.877376|377.9|1071|2019-02-14T00:00:00.001998Z|2019-03-21T04:48:32.991998Z
ZE|1072|62.859341|-149.874583|370.1|1072|2019-02-14T00:00:00.001998Z|2019-03-18T16:56:58.913998Z
ZE|1073|62.865665|-149.861265|367.8|1073|2019-02-14T00:00:00.000000Z|2019-03-21T05:05:00.490000Z
ZE|1074|62.869764|-149.843779|373.8|1074|2019-02-14T00:00:00.000000Z|2019-03-21T12:43:30.504000Z
ZE|1075|62.877373|-149.832499|379.6|1075|2019-02-14T00:00:00.000000Z|2019-03-22T10:54:28.918000Z
ZE|1076|62.876769|-149.813021|351.9|1076|2019-02-14T00:00:00.001998Z|2019-03-16T17:36:30.547998Z
ZE|1077|62.879502|-149.794453|372.9|1077|2019-02-14T00:00:00.001998Z|2019-03-20T03:46:46.867998Z
ZE|1078|62.885616|-149.78136|402.1|1078|2019-02-14T00:00:00.000000Z|2019-03-20T22:25:50.932000Z
ZE|1079|62.89005|-149.762365|400.4|1079|2019-02-14T00:00:00.000000Z|2019-03-22T05:08:04.800000Z
