Equipment,Date,Flight_Number,Station,Closest_Approach_Timestamp,Meas_Speed,Meas_Distance,Meas_Closet_Approach_Time,Meas_Closest_Approach_Timestamp,Meas_Sound_Speed,Meas_Source_Frequency_Array,Variance,Data_Misfit_Value,
AT73,20190215,528702258,1193,1550267528.51903,152.7734885,4506.370564812290,110.939178033544,1550267528.80402,327.080634115819,[16.31594578 33.93860119 68.69545596 102.67951379 137.13531636 205.40543201 274.36586915],[1.40931071e+01 4.15233388e+02 9.94709834e-02 3.02289958e+01 1.31527407e-01 1.31873342e-01 1.25141525e-01 2.28423739e-01 2.27968493e-01 3.97145914e-01 3.95337748e-01],0.1354351255522350,
AT73,20190218,529224524,1113,1550528849.10141,133.0868626,4652.284867807770,110.574752571198,1550528849.55625,316.766494415417,[17.50461499 35.10394633 51.7743484 70.07765112 88.27591991 105.85496156 140.71748943 210.25541064],[3.96635662e+01 1.38922875e+03 1.21848210e-01 9.43797079e+01 1.11105343e-01 1.24350167e-01 1.73525820e-01 8.73784298e-02 1.84320506e-01 2.02862838e-01 1.54320052e-01 2.85530043e-01],0.0941402725589670,
AT73,20190218,529224524,1121,1550528793.69481,130.4876906,3938.407871326080,110.821476114669,1550528793.74838,311.456862623147,[13.70724019 17.14058071 34.77175072 52.69219221 70.21200321 140.63996231 211.08618317 278.52866592],[1.37190685e+01 4.13745170e+02 1.05075428e-01 3.27766482e+01 1.72829973e-01 1.53496893e-01 1.26359912e-01 1.28639563e-01 9.27478745e-02 1.51590866e-01 2.91991428e-01 3.47365473e-01],0.1122563275599650,
AT73,20190220,529567936,1110,1550700454.06771,139.5940417,4773.693568055200,109.749820004703,1550700453.26301,330.204916637389,[34.72339407 51.85366963 69.29602821 86.57254658 138.84156467 207.69967903],[1.25788221e+01 4.29316739e+02 1.28083496e-01 2.98238643e+01 1.36734327e-01 1.90048663e-01 8.64273613e-02 2.03510927e-01 1.51067984e-01 2.76948264e-01],0.0633499128821091,
AT73,20190222,529935813,1175,1550863351.60438,132.8432725,3400.620024432430,110.045390534812,1550863350.23292,305.844107728613,[35.32400951 52.15766216 69.85798766 87.12166103 139.33362454 210.7218016 278.60679712],[1.53224998e+01 3.92549215e+02 1.07942365e-01 3.53289584e+01 1.83908985e-01 1.96250064e-01 1.39446793e-01 2.32252521e-01 2.30722699e-01 4.20142154e-01 4.53840574e-01],0.1299404131611860,
AT73,20190222,529935813,1176,1550863358.72874,147.3804698,4239.833806101140,110.128900775656,1550863357.44800,326.028013864859,[17.41182685 33.83611277 51.62381173 68.7965233 85.59162001 137.38956293 205.24899096 272.83390642],[1.42880355e+01 4.10754026e+02 1.06046294e-01 3.16717099e+01 1.54030319e-01 1.54704439e-01 1.49901332e-01 1.24223179e-01 2.10982514e-01 2.12030705e-01 3.72925623e-01 4.19414354e-01],0.1049684445721990,
AT73,20190222,529963208,1122,1550873504.76880,138.1341821,3189.634760672370,110.160796897288,1550873503.83554,303.271670818201,[71.94650574 142.83406784 216.6803193],[1.63525965e+01 3.79945975e+02 1.07031350e-01 3.59544084e+01 2.36886697e-01 3.93807126e-01 7.37192927e-01],0.0814173414700340,
AT73,20190225,530483364,1092,1551132437.91693,131.2802519,4195.433544722460,109.643510581714,1551132436.45894,310.266989924936,[17.11674098 34.46747627 51.87421628 69.51680688 86.47052502 138.78982578 208.87836833 279.09416761],[1.31957656e+01 4.21395059e+02 1.20682504e-01 3.12254260e+01 1.55988435e-01 1.33761094e-01 1.39090181e-01 8.99591933e-02 2.00337589e-01 1.63903731e-01 2.83071456e-01 3.28825128e-01],0.0974710975693788,
AT73,20190228,531037035,1149,1551382332.01448,126.5211649,3391.958882895890,111.034631447014,1551382331.65734,302.606448799979,[17.40238616 34.87062782 52.22477714 70.00992264 86.91957939 139.97142349 209.83973306],[1.48092735e+01 3.97603264e+02 8.77755636e-02 3.54113510e+01 1.48017323e-01 1.40271921e-01 1.31312034e-01 1.29992031e-01 2.23990539e-01 2.27358137e-01 3.18386410e-01],0.0703691363661517,
AT73,20190301,531232513,1149,1551470465.81108,133.8652567,3753.833623509330,64.472245110349,1551470419.05029,310.666723551267,[17.09288597 34.55769452 69.1414167 87.02019117 103.6044275 138.45442771 208.70923344 276.34939665],[1.44407409e+01 4.05266961e+02 9.15522762e-02 3.35303205e+01 1.10007378e-01 1.19875147e-01 1.00719502e-01 1.81180189e-01 1.76725044e-01 1.60857506e-01 3.05609163e-01 3.36583580e-01],0.1446308538245480,
